Date,City,Time of Day,Temperature (F),Precipitation Inches,Humidity Percentage,Wind Speed MPH,Weather Condition
5/7/2023 6:33:07 PM,New York,Morning,33.9,1.89,39,6.3,Foggy
5/8/2023 6:33:07 PM,New York,Morning,58.6,0.92,48,10.1,Cloudy
5/9/2023 6:33:07 PM,New York,Morning,33.7,1.99,53,11.7,Windy
5/10/2023 6:33:07 PM,New York,Morning,68.5,1.08,78,4.4,Snowy
5/11/2023 6:33:07 PM,New York,Morning,51.5,1.51,46,13.6,Sunny
5/12/2023 6:33:07 PM,New York,Morning,67.4,0.01,35,16,Foggy
5/13/2023 6:33:07 PM,New York,Morning,39.4,0.99,92,11.5,Windy
5/14/2023 6:33:07 PM,New York,Morning,95.3,1.47,30,10.5,Windy
5/15/2023 6:33:07 PM,New York,Morning,92.6,1.57,28,5.9,Cloudy
5/16/2023 6:33:07 PM,New York,Morning,43.3,0.32,20,18.2,Windy
5/17/2023 6:33:07 PM,New York,Morning,54,0.84,28,15.1,Snowy
5/18/2023 6:33:07 PM,New York,Morning,72.9,0.84,78,9.6,Windy
5/19/2023 6:33:07 PM,New York,Morning,36.7,0.21,11,13.2,Cloudy
5/20/2023 6:33:07 PM,New York,Morning,54.8,0.89,34,6.7,Sunny
5/21/2023 6:33:07 PM,New York,Morning,47.6,1.61,99,1.2,Windy
5/22/2023 6:33:07 PM,New York,Morning,94.1,0.6,39,4.1,Windy
5/23/2023 6:33:07 PM,New York,Morning,89.7,0.87,26,1.6,Rainy
5/24/2023 6:33:07 PM,New York,Morning,70.6,1.92,94,10.2,Snowy
5/25/2023 6:33:07 PM,New York,Morning,66.4,0.06,93,12.4,Foggy
5/26/2023 6:33:07 PM,New York,Morning,95.2,1.18,27,7.6,Snowy
5/27/2023 6:33:07 PM,New York,Morning,95.3,1.49,89,10.6,Foggy
5/28/2023 6:33:07 PM,New York,Morning,97.9,1.52,85,1.7,Foggy
5/29/2023 6:33:07 PM,New York,Morning,38.8,1.43,49,15.4,Snowy
5/30/2023 6:33:07 PM,New York,Morning,41.2,1.45,15,0.7,Foggy
5/31/2023 6:33:07 PM,New York,Morning,77.4,0.12,97,12.7,Windy
6/1/2023 6:33:07 PM,New York,Morning,67.9,1.07,52,8.7,Snowy
6/2/2023 6:33:07 PM,New York,Morning,31.3,1.57,79,3.7,Snowy
6/3/2023 6:33:07 PM,New York,Morning,34.3,0.19,26,10.5,Rainy
6/4/2023 6:33:07 PM,New York,Morning,92.2,0.02,51,15.6,Cloudy
6/5/2023 6:33:07 PM,New York,Morning,90.8,1.63,28,8.3,Cloudy
6/6/2023 6:33:07 PM,New York,Morning,55,1.42,64,7.4,Sunny
6/7/2023 6:33:07 PM,New York,Morning,92.4,0.82,38,2.8,Foggy
6/8/2023 6:33:07 PM,New York,Morning,71.6,1.88,63,11.9,Foggy
6/9/2023 6:33:07 PM,New York,Morning,86.4,1.53,80,16.6,Foggy
6/10/2023 6:33:07 PM,New York,Morning,59.9,1.94,92,11.2,Foggy
6/11/2023 6:33:07 PM,New York,Morning,37.9,1.86,17,3.3,Rainy
6/12/2023 6:33:07 PM,New York,Morning,60.4,0.96,17,13.2,Foggy
6/13/2023 6:33:07 PM,New York,Morning,62,1.51,78,0.6,Foggy
6/14/2023 6:33:07 PM,New York,Morning,68.6,1.34,52,16.8,Windy
6/15/2023 6:33:07 PM,New York,Morning,37.4,1.62,59,18.4,Foggy
6/16/2023 6:33:07 PM,New York,Morning,99.4,1.58,94,11.9,Foggy
6/17/2023 6:33:07 PM,New York,Morning,47.1,0.31,13,17.6,Sunny
6/18/2023 6:33:07 PM,New York,Morning,43.9,0.47,45,1.7,Snowy
6/19/2023 6:33:07 PM,New York,Morning,66.9,0.53,14,4.6,Sunny
6/20/2023 6:33:07 PM,New York,Morning,67.6,1.64,96,6.3,Cloudy
6/21/2023 6:33:07 PM,New York,Morning,60.8,1.62,28,15.5,Sunny
6/22/2023 6:33:07 PM,New York,Morning,84,0.99,51,9.7,Sunny
6/23/2023 6:33:07 PM,New York,Morning,66.2,1.16,24,7,Foggy
6/24/2023 6:33:07 PM,New York,Morning,72.7,1.65,67,3.2,Rainy
6/25/2023 6:33:07 PM,New York,Morning,80.7,0.63,23,16.2,Snowy
6/26/2023 6:33:07 PM,New York,Morning,31.8,0.1,57,0.4,Windy
6/27/2023 6:33:07 PM,New York,Morning,69.9,0.97,81,6.7,Foggy
6/28/2023 6:33:07 PM,New York,Morning,91.9,1.83,82,4.9,Windy
6/29/2023 6:33:07 PM,New York,Morning,31.2,1.58,84,2.6,Rainy
6/30/2023 6:33:07 PM,New York,Morning,58.4,0.73,91,3.4,Foggy
7/1/2023 6:33:07 PM,New York,Morning,94.8,0.13,72,9.9,Rainy
7/2/2023 6:33:07 PM,New York,Morning,54.7,1.27,64,8.5,Foggy
7/3/2023 6:33:07 PM,New York,Morning,62.1,1.67,41,10.4,Foggy
7/4/2023 6:33:07 PM,New York,Morning,98.7,1.33,45,14.6,Windy
7/5/2023 6:33:07 PM,New York,Morning,44,0.85,94,17.8,Foggy
7/6/2023 6:33:07 PM,New York,Morning,34.6,0.25,94,2.4,Sunny
7/7/2023 6:33:07 PM,New York,Morning,90.2,1.82,84,1.7,Snowy
7/8/2023 6:33:07 PM,New York,Morning,90.8,0.55,66,6.4,Windy
7/9/2023 6:33:07 PM,New York,Morning,63,0.45,53,10.9,Sunny
7/10/2023 6:33:07 PM,New York,Morning,66,1.63,43,2,Sunny
7/11/2023 6:33:07 PM,New York,Morning,88.5,1.96,60,14.3,Cloudy
7/12/2023 6:33:07 PM,New York,Morning,81.7,1.32,78,11.1,Rainy
7/13/2023 6:33:07 PM,New York,Morning,48.6,1.25,19,15,Foggy
7/14/2023 6:33:07 PM,New York,Morning,31.2,0.64,21,7.2,Foggy
7/15/2023 6:33:07 PM,New York,Morning,63.6,0.04,50,8,Windy
7/16/2023 6:33:07 PM,New York,Morning,90.1,0.38,12,16.2,Windy
7/17/2023 6:33:07 PM,New York,Morning,92.7,1.17,74,5.3,Foggy
7/18/2023 6:33:07 PM,New York,Morning,96.9,0.3,49,7.6,Snowy
7/19/2023 6:33:07 PM,New York,Morning,91.6,1.77,74,0.3,Foggy
7/20/2023 6:33:07 PM,New York,Morning,70.6,0.38,86,11.1,Foggy
7/21/2023 6:33:07 PM,New York,Morning,61.1,1.04,88,17,Windy
7/22/2023 6:33:07 PM,New York,Morning,84.2,1.02,80,0.6,Sunny
7/23/2023 6:33:07 PM,New York,Morning,81.8,1.21,39,12.3,Sunny
7/24/2023 6:33:07 PM,New York,Morning,67.7,0.65,97,16.9,Snowy
7/25/2023 6:33:07 PM,New York,Morning,36.1,1.75,81,9.9,Sunny
7/26/2023 6:33:07 PM,New York,Morning,94.8,0.89,76,6.3,Sunny
7/27/2023 6:33:07 PM,New York,Morning,61.9,1.4,88,19.9,Windy
7/28/2023 6:33:07 PM,New York,Morning,55.4,1.27,52,1.3,Rainy
7/29/2023 6:33:07 PM,New York,Morning,74.1,0.23,62,4.2,Windy
7/30/2023 6:33:07 PM,New York,Morning,77.2,1.25,87,17.7,Cloudy
7/31/2023 6:33:07 PM,New York,Morning,44.7,1.1,39,5.9,Snowy
8/1/2023 6:33:07 PM,New York,Morning,88.6,1.8,50,16.4,Foggy
8/2/2023 6:33:07 PM,New York,Morning,50.3,1.76,53,6.7,Sunny
8/3/2023 6:33:07 PM,New York,Morning,43.1,0.3,46,16.2,Windy
8/4/2023 6:33:07 PM,New York,Morning,58.4,0.16,15,13.7,Windy
8/5/2023 6:33:07 PM,New York,Morning,81.1,0.59,92,9.4,Foggy
8/6/2023 6:33:07 PM,New York,Morning,97.6,1.97,46,10.5,Foggy
8/7/2023 6:33:07 PM,New York,Morning,86.6,0.04,10,3.6,Sunny
8/8/2023 6:33:07 PM,New York,Morning,95.8,1.35,98,2.3,Snowy
8/9/2023 6:33:07 PM,New York,Morning,39.8,1.22,19,14.3,Windy
8/10/2023 6:33:07 PM,New York,Morning,35,1.29,35,17,Rainy
8/11/2023 6:33:07 PM,New York,Morning,69,0.44,96,14.4,Foggy
8/12/2023 6:33:07 PM,New York,Morning,50.3,0.45,26,18.3,Sunny
8/13/2023 6:33:07 PM,New York,Morning,88,0.86,73,17.8,Snowy
8/14/2023 6:33:07 PM,New York,Morning,77,0.19,36,15.6,Cloudy
8/15/2023 6:33:07 PM,New York,Morning,98,0.15,84,18,Foggy
8/16/2023 6:33:07 PM,New York,Morning,47.8,0.18,77,3.3,Sunny
8/17/2023 6:33:07 PM,New York,Morning,64,1.15,27,14.6,Cloudy
8/18/2023 6:33:07 PM,New York,Morning,65.1,0.8,92,15.1,Sunny
8/19/2023 6:33:07 PM,New York,Morning,46.7,0.59,59,3.1,Windy
8/20/2023 6:33:07 PM,New York,Morning,71.3,0.63,99,18.2,Snowy
8/21/2023 6:33:07 PM,New York,Morning,61,0.41,74,0.2,Rainy
8/22/2023 6:33:07 PM,New York,Morning,61.3,0.82,29,8.7,Cloudy
8/23/2023 6:33:07 PM,New York,Morning,55.4,0.41,71,0.4,Cloudy
8/24/2023 6:33:07 PM,New York,Morning,31.2,1.4,84,10.5,Sunny
8/25/2023 6:33:07 PM,New York,Morning,66.5,0.25,68,8.2,Cloudy
8/26/2023 6:33:07 PM,New York,Morning,53.5,1.9,34,12.5,Sunny
8/27/2023 6:33:07 PM,New York,Morning,30.1,0.18,92,15.3,Sunny
8/28/2023 6:33:07 PM,New York,Morning,51.6,1.89,74,15.4,Cloudy
8/29/2023 6:33:07 PM,New York,Morning,49.5,1.67,74,14.4,Cloudy
8/30/2023 6:33:07 PM,New York,Morning,57.5,1.36,76,2,Windy
8/31/2023 6:33:07 PM,New York,Morning,39.2,1.82,67,8.3,Windy
9/1/2023 6:33:07 PM,New York,Morning,65.5,0.28,49,16.3,Foggy
9/2/2023 6:33:07 PM,New York,Morning,78.5,0.35,56,13.1,Windy
9/3/2023 6:33:07 PM,New York,Morning,74.1,0.5,52,13.6,Snowy
9/4/2023 6:33:07 PM,New York,Morning,86.3,0.49,17,4.5,Rainy
9/5/2023 6:33:07 PM,New York,Morning,61.6,0.62,71,6.5,Windy
9/6/2023 6:33:07 PM,New York,Morning,66.3,1.15,43,19.1,Windy
9/7/2023 6:33:07 PM,New York,Morning,86.7,0.06,17,16.9,Sunny
9/8/2023 6:33:07 PM,New York,Morning,59.9,0.76,34,3.3,Rainy
9/9/2023 6:33:07 PM,New York,Morning,79.1,0.49,35,10.9,Cloudy
9/10/2023 6:33:07 PM,New York,Morning,60.4,1.21,63,9.8,Snowy
9/11/2023 6:33:07 PM,New York,Morning,59.2,1.97,92,8.9,Cloudy
9/12/2023 6:33:07 PM,New York,Morning,83.2,1.04,96,9.4,Sunny
9/13/2023 6:33:07 PM,New York,Morning,42.2,0.85,50,12.9,Snowy
9/14/2023 6:33:07 PM,New York,Morning,53.7,0.74,89,19.3,Windy
9/15/2023 6:33:07 PM,New York,Morning,45.7,1.57,81,17.5,Rainy
9/16/2023 6:33:07 PM,New York,Morning,55.1,0.14,72,17.5,Rainy
9/17/2023 6:33:07 PM,New York,Morning,46.1,1.92,81,14.1,Windy
9/18/2023 6:33:07 PM,New York,Morning,70.6,0.84,84,0.4,Cloudy
9/19/2023 6:33:07 PM,New York,Morning,85.9,0.63,16,8.8,Cloudy
9/20/2023 6:33:07 PM,New York,Morning,85.1,1.95,94,10.2,Windy
9/21/2023 6:33:07 PM,New York,Morning,55.5,1.87,94,16.8,Windy
9/22/2023 6:33:07 PM,New York,Morning,99.2,1.28,78,18.5,Rainy
9/23/2023 6:33:07 PM,New York,Morning,71.6,0.04,59,9,Cloudy
9/24/2023 6:33:07 PM,New York,Morning,58,1.5,52,6,Foggy
9/25/2023 6:33:07 PM,New York,Morning,88.5,0.67,26,6.7,Snowy
9/26/2023 6:33:07 PM,New York,Morning,81.1,0.78,30,11.6,Snowy
9/27/2023 6:33:07 PM,New York,Morning,82.4,0.32,15,5.5,Sunny
9/28/2023 6:33:07 PM,New York,Morning,43.7,1.05,80,18.2,Sunny
9/29/2023 6:33:07 PM,New York,Morning,62.8,1.49,84,8.4,Sunny
9/30/2023 6:33:07 PM,New York,Morning,90.3,0.55,91,19.8,Cloudy
10/1/2023 6:33:07 PM,New York,Morning,65.3,1.88,47,2.2,Snowy
10/2/2023 6:33:07 PM,New York,Morning,77.8,0.39,72,3.8,Cloudy
10/3/2023 6:33:07 PM,New York,Morning,71.2,0.13,21,10.2,Windy
10/4/2023 6:33:07 PM,New York,Morning,89,1.29,31,17.4,Rainy
10/5/2023 6:33:07 PM,New York,Morning,49.9,1.7,12,7.1,Foggy
10/6/2023 6:33:07 PM,New York,Morning,70.3,1.91,28,16.7,Sunny
10/7/2023 6:33:07 PM,New York,Morning,38.6,1.53,52,8.5,Windy
10/8/2023 6:33:07 PM,New York,Morning,78.3,0.4,96,17.1,Windy
10/9/2023 6:33:07 PM,New York,Morning,81.2,1.96,76,5.5,Foggy
10/10/2023 6:33:07 PM,New York,Morning,33,1.84,96,9.4,Rainy
10/11/2023 6:33:07 PM,New York,Morning,77.3,0.33,14,5.6,Snowy
10/12/2023 6:33:07 PM,New York,Morning,59,1.12,38,4.3,Snowy
10/13/2023 6:33:07 PM,New York,Morning,38.7,1.11,14,8.4,Windy
10/14/2023 6:33:07 PM,New York,Morning,59.4,0.89,54,6.7,Rainy
10/15/2023 6:33:07 PM,New York,Morning,43.6,1.97,63,15.7,Snowy
10/16/2023 6:33:07 PM,New York,Morning,59.1,0.12,33,15,Sunny
10/17/2023 6:33:07 PM,New York,Morning,56.9,1.25,30,7.2,Cloudy
10/18/2023 6:33:07 PM,New York,Morning,81.7,0.41,41,19.8,Rainy
10/19/2023 6:33:07 PM,New York,Morning,84.2,1.05,14,19.5,Foggy
10/20/2023 6:33:07 PM,New York,Morning,72.5,1.56,71,18.4,Windy
10/21/2023 6:33:07 PM,New York,Morning,31.6,0.49,27,11.7,Cloudy
10/22/2023 6:33:07 PM,New York,Morning,95.2,0.79,44,8.2,Snowy
10/23/2023 6:33:07 PM,New York,Morning,78,1.9,89,6.3,Snowy
10/24/2023 6:33:07 PM,New York,Morning,32.4,1.52,97,0.3,Foggy
10/25/2023 6:33:07 PM,New York,Morning,87.3,1.15,14,12.6,Rainy
10/26/2023 6:33:07 PM,New York,Morning,44,0.44,18,11.1,Cloudy
10/27/2023 6:33:07 PM,New York,Morning,70.5,0.85,13,12.6,Snowy
10/28/2023 6:33:07 PM,New York,Morning,62.7,1.55,42,11.5,Rainy
10/29/2023 6:33:07 PM,New York,Morning,59.4,1.64,31,2.8,Cloudy
10/30/2023 6:33:07 PM,New York,Morning,92.3,0.49,68,13.9,Windy
10/31/2023 6:33:07 PM,New York,Morning,60.6,1.32,20,7.2,Windy
11/1/2023 6:33:07 PM,New York,Morning,35.3,0.19,78,10.3,Snowy
11/2/2023 6:33:07 PM,New York,Morning,96.3,0.05,19,7.3,Rainy
11/3/2023 6:33:07 PM,New York,Morning,94.4,1.1,12,0.4,Sunny
11/4/2023 6:33:07 PM,New York,Morning,77.9,0.45,24,17.5,Snowy
11/5/2023 6:33:07 PM,New York,Morning,62.8,0.16,46,3,Sunny
11/6/2023 6:33:07 PM,New York,Morning,36.5,1.46,49,11.6,Cloudy
11/7/2023 6:33:07 PM,New York,Morning,85.4,1,26,17.7,Rainy
11/8/2023 6:33:07 PM,New York,Morning,35.3,1.59,29,4.4,Foggy
11/9/2023 6:33:07 PM,New York,Morning,34.8,1.33,13,8.2,Snowy
11/10/2023 6:33:07 PM,New York,Morning,67.6,1.46,43,7.6,Windy
11/11/2023 6:33:07 PM,New York,Morning,41.2,0.61,43,1.8,Cloudy
11/12/2023 6:33:07 PM,New York,Morning,30.5,0.53,76,8.5,Foggy
11/13/2023 6:33:07 PM,New York,Morning,59.6,1.2,37,9.6,Cloudy
11/14/2023 6:33:07 PM,New York,Morning,39.6,0.4,88,0.5,Cloudy
11/15/2023 6:33:07 PM,New York,Morning,41.2,1.63,45,9.8,Sunny
11/16/2023 6:33:07 PM,New York,Morning,35.4,1.05,44,1.9,Sunny
11/17/2023 6:33:07 PM,New York,Morning,44.4,0.45,50,17.8,Foggy
11/18/2023 6:33:07 PM,New York,Morning,80.1,1.25,68,13,Cloudy
11/19/2023 6:33:07 PM,New York,Morning,86.6,1.89,83,1.1,Snowy
11/20/2023 6:33:07 PM,New York,Morning,61.7,0.16,26,16.5,Sunny
11/21/2023 6:33:07 PM,New York,Morning,65.5,0.22,39,7.2,Rainy
11/22/2023 6:33:07 PM,New York,Morning,32.3,1.69,63,4.5,Windy
11/23/2023 6:33:07 PM,New York,Morning,34.9,0.22,61,5.1,Snowy
11/24/2023 6:33:07 PM,New York,Morning,48,0.08,81,12,Foggy
11/25/2023 6:33:07 PM,New York,Morning,68.1,0.7,32,1.6,Foggy
11/26/2023 6:33:07 PM,New York,Morning,81.8,0.93,28,1.2,Rainy
11/27/2023 6:33:07 PM,New York,Morning,72.4,1.14,46,12.6,Foggy
11/28/2023 6:33:07 PM,New York,Morning,57.4,1.01,68,19.6,Foggy
11/29/2023 6:33:07 PM,New York,Morning,38.3,1.83,45,9.7,Sunny
11/30/2023 6:33:07 PM,New York,Morning,84.7,1.54,77,8.3,Windy
12/1/2023 6:33:07 PM,New York,Morning,55.5,1.97,35,18.9,Cloudy
12/2/2023 6:33:07 PM,New York,Morning,81.5,0.95,36,4.8,Windy
12/3/2023 6:33:07 PM,New York,Morning,65.9,0.17,86,4.8,Cloudy
12/4/2023 6:33:07 PM,New York,Morning,81.7,1.91,71,18.1,Foggy
12/5/2023 6:33:07 PM,New York,Morning,93.5,0.01,71,12.9,Rainy
12/6/2023 6:33:07 PM,New York,Morning,94.5,1.55,61,1.1,Rainy
12/7/2023 6:33:07 PM,New York,Morning,67.5,0.06,53,13.5,Snowy
12/8/2023 6:33:07 PM,New York,Morning,65.8,1.52,42,16.4,Rainy
12/9/2023 6:33:07 PM,New York,Morning,48.6,1.88,99,5.5,Sunny
12/10/2023 6:33:07 PM,New York,Morning,95.5,0.78,93,7.7,Sunny
12/11/2023 6:33:07 PM,New York,Morning,62.1,0.48,72,4,Windy
12/12/2023 6:33:07 PM,New York,Morning,38.9,0.45,81,12.7,Foggy
12/13/2023 6:33:07 PM,New York,Morning,60.3,0.98,89,13.3,Cloudy
12/14/2023 6:33:07 PM,New York,Morning,38.9,0.34,78,1.4,Foggy
12/15/2023 6:33:07 PM,New York,Morning,65.2,1.35,43,13.6,Windy
12/16/2023 6:33:07 PM,New York,Morning,69.3,0.74,36,13.2,Snowy
12/17/2023 6:33:07 PM,New York,Morning,53.6,0.65,45,0.7,Foggy
12/18/2023 6:33:07 PM,New York,Morning,35,0.92,13,11.1,Snowy
12/19/2023 6:33:07 PM,New York,Morning,96,1.09,62,12.3,Foggy
12/20/2023 6:33:07 PM,New York,Morning,84.1,0.28,80,8.6,Sunny
12/21/2023 6:33:07 PM,New York,Morning,88.7,1.42,46,18,Snowy
12/22/2023 6:33:07 PM,New York,Morning,55.7,1.77,97,6.6,Foggy
12/23/2023 6:33:07 PM,New York,Morning,83.3,0.56,88,1.3,Sunny
12/24/2023 6:33:07 PM,New York,Morning,64,0.36,59,13.4,Cloudy
12/25/2023 6:33:07 PM,New York,Morning,44.1,1.52,79,12.1,Windy
12/26/2023 6:33:07 PM,New York,Morning,38.7,0.37,35,19.8,Foggy
12/27/2023 6:33:07 PM,New York,Morning,54.2,0.08,99,4.6,Snowy
12/28/2023 6:33:07 PM,New York,Morning,39.6,1.24,34,7.9,Cloudy
12/29/2023 6:33:07 PM,New York,Morning,99.9,0.48,42,9.2,Snowy
12/30/2023 6:33:07 PM,New York,Morning,33.4,0.34,76,17.2,Rainy
12/31/2023 6:33:07 PM,New York,Morning,60.9,1.96,82,8.3,Snowy
1/1/2024 6:33:07 PM,New York,Morning,61.6,0.58,46,15.4,Cloudy
1/2/2024 6:33:07 PM,New York,Morning,51,1.81,47,3.1,Snowy
1/3/2024 6:33:07 PM,New York,Morning,70,0.36,36,8.2,Rainy
1/4/2024 6:33:07 PM,New York,Morning,40.5,1.64,22,3.1,Snowy
1/5/2024 6:33:07 PM,New York,Morning,84.9,1,32,19,Cloudy
1/6/2024 6:33:07 PM,New York,Morning,53.3,0.16,76,3.6,Sunny
1/7/2024 6:33:07 PM,New York,Morning,71.4,1.47,96,8.4,Cloudy
1/8/2024 6:33:07 PM,New York,Morning,80.1,1.78,97,1.6,Sunny
1/9/2024 6:33:07 PM,New York,Morning,92.2,0.33,64,18.4,Sunny
1/10/2024 6:33:07 PM,New York,Morning,88.5,1.45,46,12.5,Windy
1/11/2024 6:33:07 PM,New York,Morning,72.6,0.89,21,19.2,Foggy
1/12/2024 6:33:07 PM,New York,Morning,57.2,1.51,63,0.8,Cloudy
1/13/2024 6:33:07 PM,New York,Morning,65.2,1.43,29,3.5,Windy
1/14/2024 6:33:07 PM,New York,Morning,83.8,0.05,27,7.6,Sunny
1/15/2024 6:33:07 PM,New York,Morning,91.4,0.36,16,12.4,Snowy
1/16/2024 6:33:07 PM,New York,Morning,37.3,0.94,99,6.6,Sunny
1/17/2024 6:33:07 PM,New York,Morning,56.9,1.87,85,14.2,Cloudy
1/18/2024 6:33:07 PM,New York,Morning,84.3,0.68,11,3.3,Cloudy
1/19/2024 6:33:07 PM,New York,Morning,60.2,1.26,63,12,Cloudy
1/20/2024 6:33:07 PM,New York,Morning,53.3,0.02,17,8,Cloudy
1/21/2024 6:33:07 PM,New York,Morning,58.8,1.42,42,10.2,Snowy
1/22/2024 6:33:07 PM,New York,Morning,72.2,1.21,55,11.4,Windy
1/23/2024 6:33:07 PM,New York,Morning,100,1.43,51,1.2,Rainy
1/24/2024 6:33:07 PM,New York,Morning,64.5,1.81,72,18.5,Windy
1/25/2024 6:33:07 PM,New York,Morning,44.6,0.29,86,15.7,Sunny
1/26/2024 6:33:07 PM,New York,Morning,41.4,0.52,97,8.8,Cloudy
1/27/2024 6:33:07 PM,New York,Morning,33,1.99,42,10.9,Cloudy
1/28/2024 6:33:07 PM,New York,Morning,69.1,0.31,78,0.7,Rainy
1/29/2024 6:33:07 PM,New York,Morning,68.1,1.44,79,10,Windy
1/30/2024 6:33:07 PM,New York,Morning,44.4,1.45,13,8.5,Sunny
1/31/2024 6:33:07 PM,New York,Morning,78.7,1.37,67,7.5,Cloudy
2/1/2024 6:33:07 PM,New York,Morning,81.9,0.45,38,16.3,Foggy
2/2/2024 6:33:07 PM,New York,Morning,48.1,0.43,30,3.6,Rainy
2/3/2024 6:33:07 PM,New York,Morning,54.1,1.33,35,3.5,Rainy
2/4/2024 6:33:07 PM,New York,Morning,99.3,0.37,95,10.4,Foggy
2/5/2024 6:33:07 PM,New York,Morning,56.2,1.32,50,13.7,Sunny
2/6/2024 6:33:07 PM,New York,Morning,83.3,0.99,87,0.4,Rainy
2/7/2024 6:33:07 PM,New York,Morning,61.7,0.77,43,10.9,Foggy
2/8/2024 6:33:07 PM,New York,Morning,85.5,0.6,53,6,Rainy
2/9/2024 6:33:07 PM,New York,Morning,83.8,1.9,10,15.1,Windy
2/10/2024 6:33:07 PM,New York,Morning,76.7,1.02,41,9.4,Cloudy
2/11/2024 6:33:07 PM,New York,Morning,89.8,1.12,41,16.7,Windy
2/12/2024 6:33:07 PM,New York,Morning,95.7,1.9,60,7.9,Rainy
2/13/2024 6:33:07 PM,New York,Morning,70.6,1.31,33,16.5,Snowy
2/14/2024 6:33:07 PM,New York,Morning,46.6,1.92,53,14.3,Sunny
2/15/2024 6:33:07 PM,New York,Morning,57.9,0.21,94,16.6,Rainy
2/16/2024 6:33:07 PM,New York,Morning,83.1,1.69,85,16.2,Rainy
2/17/2024 6:33:07 PM,New York,Morning,75.6,0.67,93,9.7,Foggy
2/18/2024 6:33:07 PM,New York,Morning,42.4,1.62,46,7.4,Windy
2/19/2024 6:33:07 PM,New York,Morning,33.6,1.71,93,15.3,Sunny
2/20/2024 6:33:07 PM,New York,Morning,77.8,0.54,75,7.2,Foggy
2/21/2024 6:33:07 PM,New York,Morning,47.6,0.82,23,1.8,Cloudy
2/22/2024 6:33:07 PM,New York,Morning,65,1.45,26,17.2,Sunny
2/23/2024 6:33:07 PM,New York,Morning,82.3,0.2,97,7.9,Rainy
2/24/2024 6:33:07 PM,New York,Morning,69.4,1.51,24,2.7,Windy
2/25/2024 6:33:07 PM,New York,Morning,35.8,0.22,70,12.9,Snowy
2/26/2024 6:33:07 PM,New York,Morning,43,1.83,58,17.8,Rainy
2/27/2024 6:33:07 PM,New York,Morning,45.4,0.55,17,17.2,Sunny
2/28/2024 6:33:07 PM,New York,Morning,48.1,1.15,12,11.1,Foggy
2/29/2024 6:33:07 PM,New York,Morning,69.6,0.23,84,1.8,Foggy
3/1/2024 6:33:07 PM,New York,Morning,65.3,0.54,36,13.9,Sunny
3/2/2024 6:33:07 PM,New York,Morning,44.2,0.81,18,12.2,Snowy
3/3/2024 6:33:07 PM,New York,Morning,34.7,0.97,24,4.2,Sunny
3/4/2024 6:33:07 PM,New York,Morning,42,0,41,18,Foggy
3/5/2024 6:33:07 PM,New York,Morning,98.9,1.78,20,1.7,Sunny
3/6/2024 6:33:07 PM,New York,Morning,62.8,0.02,12,7.5,Foggy
3/7/2024 6:33:07 PM,New York,Morning,90.7,1.55,35,1.9,Windy
3/8/2024 6:33:07 PM,New York,Morning,89.4,0.94,16,18.2,Sunny
3/9/2024 6:33:07 PM,New York,Morning,65.8,1.05,64,0.7,Cloudy
