Date,Campaign ID,Platform,Daily Impressions,Daily Clicks,Daily Engagement,Daily Conversion Rate,Daily Spend
2023-05-07 02:40:18.906101,CMP001,YouTube,6100,561,125,3.06,1702
2023-05-08 02:40:18.906101,CMP001,YouTube,2764,658,233,4.79,1551
2023-05-09 02:40:18.906101,CMP001,YouTube,2974,791,400,0.71,1425
2023-05-10 02:40:18.906101,CMP001,YouTube,1692,985,374,3.24,955
2023-05-11 02:40:18.906101,CMP001,YouTube,7593,585,444,3.54,1906
2023-05-12 02:40:18.906101,CMP001,YouTube,3132,566,318,2.56,919
2023-05-13 02:40:18.906101,CMP001,YouTube,8997,392,378,3.47,442
2023-05-14 02:40:18.906101,CMP001,YouTube,2559,752,59,0.39,947
2023-05-15 02:40:18.906101,CMP001,YouTube,5511,364,489,2.69,1616
2023-05-16 02:40:18.906101,CMP001,YouTube,1074,157,373,4.84,972
2023-05-17 02:40:18.906101,CMP001,YouTube,6935,572,105,3.29,1556
2023-05-18 02:40:18.906101,CMP001,YouTube,4767,880,284,0.49,1113
2023-05-19 02:40:18.906101,CMP001,YouTube,6091,839,413,4.52,842
2023-05-20 02:40:18.906101,CMP001,YouTube,2732,515,156,1.51,1654
2023-05-21 02:40:18.906101,CMP001,YouTube,3160,582,426,4.57,1338
2023-05-22 02:40:18.906101,CMP001,YouTube,4942,198,91,2.64,1418
2023-05-23 02:40:18.906101,CMP001,YouTube,9057,895,54,3.46,1270
2023-05-24 02:40:18.906101,CMP001,YouTube,6408,777,162,2.9,519
2023-05-25 02:40:18.906101,CMP001,YouTube,6143,846,274,0.14,874
2023-05-26 02:40:18.906101,CMP001,YouTube,3817,132,466,2.45,957
2023-05-27 02:40:18.906101,CMP001,YouTube,9134,904,210,3.04,822
2023-05-28 02:40:18.906101,CMP001,YouTube,1494,731,325,2.67,645
2023-05-29 02:40:18.906101,CMP001,YouTube,6894,853,224,1.71,1682
2023-05-30 02:40:18.906101,CMP001,YouTube,7427,466,95,0.56,908
2023-05-31 02:40:18.906101,CMP001,YouTube,3893,691,496,0.24,544
2023-06-01 02:40:18.906101,CMP001,YouTube,5236,952,461,0.65,668
2023-06-02 02:40:18.906101,CMP001,YouTube,6510,855,346,2.29,879
2023-06-03 02:40:18.906101,CMP001,YouTube,9274,163,87,3.3,1773
2023-06-04 02:40:18.906101,CMP001,YouTube,2772,452,115,1.21,1993
2023-06-05 02:40:18.906101,CMP001,YouTube,2959,481,349,2.54,503
2023-06-06 02:40:18.906101,CMP001,YouTube,6219,957,422,0.49,1504
2023-06-07 02:40:18.906101,CMP001,YouTube,3596,768,117,2.08,405
2023-06-08 02:40:18.906101,CMP001,YouTube,6417,139,152,2.99,1847
2023-06-09 02:40:18.906101,CMP001,YouTube,1987,413,323,3.64,1776
2023-06-10 02:40:18.906101,CMP001,YouTube,9730,371,203,0.23,371
2023-06-11 02:40:18.906101,CMP001,YouTube,5554,966,200,1.16,1557
2023-06-12 02:40:18.906101,CMP001,YouTube,7008,680,169,1.59,1017
2023-06-13 02:40:18.906101,CMP001,YouTube,4140,935,271,1.21,754
2023-06-14 02:40:18.906101,CMP001,YouTube,3249,770,263,2.84,1035
2023-06-15 02:40:18.906101,CMP001,YouTube,2110,435,72,3.59,1441
2023-06-16 02:40:18.906101,CMP001,YouTube,4722,846,363,0.58,825
2023-06-17 02:40:18.906101,CMP001,YouTube,9681,938,305,2.67,832
2023-06-18 02:40:18.906101,CMP001,YouTube,3222,510,399,2.0,990
2023-06-19 02:40:18.906101,CMP001,YouTube,2378,655,376,2.67,774
2023-06-20 02:40:18.906101,CMP001,YouTube,1942,819,174,0.97,312
2023-06-21 02:40:18.906101,CMP001,YouTube,8328,442,443,2.08,1708
2023-06-22 02:40:18.906101,CMP001,YouTube,1370,739,461,4.07,1769
2023-06-23 02:40:18.906101,CMP001,YouTube,2288,300,352,4.05,328
2023-06-24 02:40:18.906101,CMP001,YouTube,6030,175,394,2.16,1957
2023-06-25 02:40:18.906101,CMP001,YouTube,7432,914,457,3.31,1979
2023-06-26 02:40:18.906101,CMP001,YouTube,5821,896,436,4.83,1239
2023-06-27 02:40:18.906101,CMP001,YouTube,4563,250,66,2.17,1598
2023-06-28 02:40:18.906101,CMP001,YouTube,7728,381,314,0.75,1701
2023-06-29 02:40:18.906101,CMP001,YouTube,4876,601,122,3.5,1191
2023-06-30 02:40:18.906101,CMP001,YouTube,6674,409,263,1.21,1880
2023-07-01 02:40:18.906101,CMP001,YouTube,8881,993,116,3.95,1138
2023-07-02 02:40:18.906101,CMP001,YouTube,7042,781,106,1.69,960
2023-07-03 02:40:18.906101,CMP001,YouTube,7592,944,268,2.06,1910
2023-07-04 02:40:18.906101,CMP001,YouTube,2713,700,103,3.63,1824
2023-07-05 02:40:18.906101,CMP001,YouTube,5181,155,471,3.13,334
2023-07-06 02:40:18.906101,CMP001,YouTube,4698,313,330,3.5,203
2023-07-07 02:40:18.906101,CMP001,YouTube,6823,836,195,4.68,1901
2023-07-08 02:40:18.906101,CMP001,YouTube,3699,665,382,2.08,463
2023-07-09 02:40:18.906101,CMP001,YouTube,1236,520,493,4.7,1375
2023-07-10 02:40:18.906101,CMP001,YouTube,2175,376,341,4.56,1309
2023-07-11 02:40:18.906101,CMP001,YouTube,4933,460,236,2.59,1258
2023-07-12 02:40:18.906101,CMP001,YouTube,8348,305,124,1.48,234
2023-07-13 02:40:18.906101,CMP001,YouTube,7756,534,202,1.96,1610
2023-07-14 02:40:18.906101,CMP001,YouTube,8242,595,286,3.19,514
2023-07-15 02:40:18.906101,CMP001,YouTube,7162,291,210,3.8,1061
2023-07-16 02:40:18.906101,CMP001,YouTube,1178,364,331,1.52,377
2023-07-17 02:40:18.906101,CMP001,YouTube,1897,105,459,3.35,1166
2023-07-18 02:40:18.906101,CMP001,YouTube,3608,499,142,1.14,1988
2023-07-19 02:40:18.906101,CMP001,YouTube,3911,958,232,4.99,1764
2023-07-20 02:40:18.906101,CMP001,YouTube,2912,764,95,0.66,1350
2023-07-21 02:40:18.906101,CMP001,YouTube,8147,214,386,4.64,1772
2023-07-22 02:40:18.906101,CMP001,YouTube,3801,136,399,0.62,1360
2023-07-23 02:40:18.906101,CMP001,YouTube,4228,378,297,4.96,1459
2023-07-24 02:40:18.906101,CMP001,YouTube,6771,544,209,0.21,1327
2023-07-25 02:40:18.906101,CMP001,YouTube,7539,819,136,2.5,701
2023-07-26 02:40:18.906101,CMP001,YouTube,1469,595,141,4.39,887
2023-07-27 02:40:18.906101,CMP001,YouTube,6585,883,314,2.27,1283
2023-07-28 02:40:18.906101,CMP001,YouTube,2749,588,412,2.9,1775
2023-07-29 02:40:18.906101,CMP001,YouTube,8165,229,453,3.05,768
2023-07-30 02:40:18.906101,CMP001,YouTube,2926,945,403,1.16,1155
2023-07-31 02:40:18.906101,CMP001,YouTube,8475,857,191,2.18,566
2023-08-01 02:40:18.906101,CMP001,YouTube,7312,887,339,2.72,900
2023-08-02 02:40:18.906101,CMP001,YouTube,7432,111,275,1.4,983
2023-08-03 02:40:18.906101,CMP001,YouTube,1658,576,471,3.33,238
2023-08-04 02:40:18.906101,CMP001,YouTube,8832,748,369,1.87,1410
2023-08-05 02:40:18.906101,CMP001,YouTube,7905,533,395,0.84,539
2023-08-06 02:40:18.906101,CMP001,YouTube,3454,267,222,3.33,857
2023-08-07 02:40:18.906101,CMP001,YouTube,5153,635,366,1.27,1454
2023-08-08 02:40:18.906101,CMP001,YouTube,3902,708,99,2.85,1893
2023-08-09 02:40:18.906101,CMP001,YouTube,3364,221,309,4.85,782
2023-08-10 02:40:18.906101,CMP001,YouTube,2802,286,233,3.99,1489
2023-08-11 02:40:18.906101,CMP001,YouTube,5139,774,271,0.72,263
2023-08-12 02:40:18.906101,CMP001,YouTube,1740,845,396,4.77,1940
2023-08-13 02:40:18.906101,CMP001,YouTube,5105,547,93,1.68,396
2023-08-14 02:40:18.906101,CMP001,YouTube,4561,411,69,3.64,1404
2023-08-15 02:40:18.906101,CMP001,YouTube,7712,327,178,0.85,1302
2023-08-16 02:40:18.906101,CMP001,YouTube,4380,200,481,0.97,367
2023-08-17 02:40:18.906101,CMP001,YouTube,4312,753,179,4.62,1423
2023-08-18 02:40:18.906101,CMP001,YouTube,8858,349,288,3.21,301
2023-08-19 02:40:18.906101,CMP001,YouTube,2296,692,378,0.25,1840
2023-08-20 02:40:18.906101,CMP001,YouTube,4103,829,344,2.74,1169
2023-08-21 02:40:18.906101,CMP001,YouTube,4363,658,352,4.57,1963
2023-08-22 02:40:18.906101,CMP001,YouTube,9984,312,380,3.4,875
2023-08-23 02:40:18.906101,CMP001,YouTube,4628,637,68,0.57,551
2023-08-24 02:40:18.906101,CMP001,YouTube,1540,540,288,3.34,772
2023-08-25 02:40:18.906101,CMP001,YouTube,7995,651,297,2.86,1667
2023-08-26 02:40:18.906101,CMP001,YouTube,6726,782,83,1.51,249
2023-08-27 02:40:18.906101,CMP001,YouTube,6713,679,407,1.69,1683
2023-08-28 02:40:18.906101,CMP001,YouTube,8925,739,321,1.68,1637
2023-08-29 02:40:18.906101,CMP001,YouTube,1354,510,477,4.34,914
2023-08-30 02:40:18.906101,CMP001,YouTube,1266,798,228,0.12,568
2023-08-31 02:40:18.906101,CMP001,YouTube,8809,362,114,0.77,1889
2023-09-01 02:40:18.906101,CMP001,YouTube,9287,979,400,0.31,1774
2023-09-02 02:40:18.906101,CMP001,YouTube,1643,832,74,3.99,1012
2023-09-03 02:40:18.906101,CMP001,YouTube,2384,200,198,2.36,699
2023-09-04 02:40:18.906101,CMP001,YouTube,2004,961,218,2.94,803
2023-09-05 02:40:18.906101,CMP001,YouTube,6533,141,66,1.7,1899
2023-09-06 02:40:18.906101,CMP001,YouTube,5597,130,455,2.5,1166
2023-09-07 02:40:18.906101,CMP001,YouTube,7455,541,325,1.98,455
2023-09-08 02:40:18.906101,CMP001,YouTube,8822,421,345,2.01,1775
2023-09-09 02:40:18.906101,CMP001,YouTube,3666,742,308,1.23,764
2023-09-10 02:40:18.906101,CMP001,YouTube,5581,603,118,0.7,1124
2023-09-11 02:40:18.906101,CMP001,YouTube,7995,403,54,1.51,1340
2023-09-12 02:40:18.906101,CMP001,YouTube,8625,865,110,0.75,388
2023-09-13 02:40:18.906101,CMP001,YouTube,8601,774,362,3.91,993
2023-09-14 02:40:18.906101,CMP001,YouTube,1668,792,314,4.77,1387
2023-09-15 02:40:18.906101,CMP001,YouTube,5912,500,442,4.33,1247
2023-09-16 02:40:18.906101,CMP001,YouTube,1665,697,209,2.84,1198
2023-09-17 02:40:18.906101,CMP001,YouTube,6455,916,152,1.56,644
2023-09-18 02:40:18.906101,CMP001,YouTube,1986,395,117,4.48,1390
2023-09-19 02:40:18.906101,CMP001,YouTube,3338,761,392,1.4,604
2023-09-20 02:40:18.906101,CMP001,YouTube,3020,139,426,3.8,1983
2023-09-21 02:40:18.906101,CMP001,YouTube,5068,987,56,1.68,1521
2023-09-22 02:40:18.906101,CMP001,YouTube,7423,801,344,2.12,1009
2023-09-23 02:40:18.906101,CMP001,YouTube,3510,785,327,2.63,728
2023-09-24 02:40:18.906101,CMP001,YouTube,7828,457,340,2.27,1271
2023-09-25 02:40:18.906101,CMP001,YouTube,3643,429,68,1.37,650
2023-09-26 02:40:18.906101,CMP001,YouTube,6391,147,58,1.23,1730
2023-09-27 02:40:18.906101,CMP001,YouTube,6543,799,141,4.31,306
2023-09-28 02:40:18.906101,CMP001,YouTube,2826,920,171,3.24,781
2023-09-29 02:40:18.906101,CMP001,YouTube,7955,931,383,3.53,1860
2023-09-30 02:40:18.906101,CMP001,YouTube,4406,553,347,1.35,1553
2023-10-01 02:40:18.906101,CMP001,YouTube,9602,747,311,3.15,692
2023-10-02 02:40:18.906101,CMP001,YouTube,9622,406,175,0.72,439
2023-10-03 02:40:18.906101,CMP001,YouTube,7031,753,338,4.87,763
2023-10-04 02:40:18.906101,CMP001,YouTube,1600,886,142,2.57,1973
2023-10-05 02:40:18.906101,CMP001,YouTube,2247,478,134,1.37,800
2023-10-06 02:40:18.906101,CMP001,YouTube,7154,309,368,3.53,1876
2023-10-07 02:40:18.906101,CMP001,YouTube,6095,560,123,4.29,1801
2023-10-08 02:40:18.906101,CMP001,YouTube,6530,953,368,3.08,1145
2023-10-09 02:40:18.906101,CMP001,YouTube,1319,151,336,3.38,1567
2023-10-10 02:40:18.906101,CMP001,YouTube,4056,539,105,1.68,1359
2023-10-11 02:40:18.906101,CMP001,YouTube,9632,308,364,0.26,437
2023-10-12 02:40:18.906101,CMP001,YouTube,6240,927,110,4.01,1878
2023-10-13 02:40:18.906101,CMP001,YouTube,7020,948,401,2.82,704
2023-10-14 02:40:18.906101,CMP001,YouTube,6091,943,249,2.2,964
2023-10-15 02:40:18.906101,CMP001,YouTube,6355,211,247,3.8,1680
2023-10-16 02:40:18.906101,CMP001,YouTube,3245,555,80,2.15,426
2023-10-17 02:40:18.906101,CMP001,YouTube,3843,384,496,1.35,1448
2023-10-18 02:40:18.906101,CMP001,YouTube,7447,184,412,0.89,1283
2023-10-19 02:40:18.906101,CMP001,YouTube,7188,447,203,0.14,714
2023-10-20 02:40:18.906101,CMP001,YouTube,4786,667,397,3.68,324
2023-10-21 02:40:18.906101,CMP001,YouTube,4763,810,264,0.9,876
2023-10-22 02:40:18.906101,CMP001,YouTube,5148,143,303,2.76,785
2023-10-23 02:40:18.906101,CMP001,YouTube,9546,639,88,0.48,454
2023-10-24 02:40:18.906101,CMP001,YouTube,4152,279,310,1.9,609
2023-10-25 02:40:18.906101,CMP001,YouTube,4975,836,58,4.1,1079
2023-10-26 02:40:18.906101,CMP001,YouTube,9975,649,71,1.17,1432
2023-10-27 02:40:18.906101,CMP001,YouTube,9643,691,177,0.8,855
2023-10-28 02:40:18.906101,CMP001,YouTube,9014,135,471,4.14,1960
2023-10-29 02:40:18.906101,CMP001,YouTube,7988,218,298,0.84,1560
2023-10-30 02:40:18.906101,CMP001,YouTube,5875,906,265,2.54,1626
2023-10-31 02:40:18.906101,CMP001,YouTube,3843,585,411,0.61,720
2023-11-01 02:40:18.906101,CMP001,YouTube,5535,756,264,0.29,1885
2023-11-02 02:40:18.906101,CMP001,YouTube,2405,531,225,4.12,580
2023-11-03 02:40:18.906101,CMP001,YouTube,8916,400,335,0.18,491
2023-11-04 02:40:18.906101,CMP001,YouTube,7571,757,113,3.21,1635
2023-11-05 02:40:18.906101,CMP001,YouTube,2627,212,250,3.38,1977
2023-11-06 02:40:18.906101,CMP001,YouTube,8016,263,125,3.89,1253
2023-11-07 02:40:18.906101,CMP001,YouTube,1669,177,394,3.18,1751
2023-11-08 02:40:18.906101,CMP001,YouTube,2688,838,95,1.25,1726
2023-11-09 02:40:18.906101,CMP001,YouTube,6816,950,151,0.19,1748
2023-11-10 02:40:18.906101,CMP001,YouTube,5211,124,187,0.15,1334
2023-11-11 02:40:18.906101,CMP001,YouTube,8604,684,229,3.58,619
2023-11-12 02:40:18.906101,CMP001,YouTube,9460,690,390,4.19,1748
2023-11-13 02:40:18.906101,CMP001,YouTube,7745,769,157,3.82,545
2023-11-14 02:40:18.906101,CMP001,YouTube,9994,810,138,0.25,649
2023-11-15 02:40:18.906101,CMP001,YouTube,4753,574,128,4.02,1914
2023-11-16 02:40:18.906101,CMP001,YouTube,7949,379,299,2.65,1066
2023-11-17 02:40:18.906101,CMP001,YouTube,3290,210,119,2.27,689
2023-11-18 02:40:18.906101,CMP001,YouTube,4690,381,252,1.1,1974
2023-11-19 02:40:18.906101,CMP001,YouTube,9830,903,457,2.6,472
2023-11-20 02:40:18.906101,CMP001,YouTube,1194,856,160,1.76,867
2023-11-21 02:40:18.906101,CMP001,YouTube,7166,530,304,3.53,755
2023-11-22 02:40:18.906101,CMP001,YouTube,8981,447,304,2.53,766
2023-11-23 02:40:18.906101,CMP001,YouTube,3054,715,241,3.27,1182
2023-11-24 02:40:18.906101,CMP001,YouTube,8996,616,136,3.66,1388
2023-11-25 02:40:18.906101,CMP001,YouTube,5060,902,118,3.6,1585
2023-11-26 02:40:18.906101,CMP001,YouTube,9264,950,151,4.13,1685
2023-11-27 02:40:18.906101,CMP001,YouTube,2118,554,293,1.73,947
2023-11-28 02:40:18.906101,CMP001,YouTube,5301,574,496,3.55,481
2023-11-29 02:40:18.906101,CMP001,YouTube,2853,212,391,4.05,1858
2023-11-30 02:40:18.906101,CMP001,YouTube,8792,207,132,0.32,1113
2023-12-01 02:40:18.906101,CMP001,YouTube,7704,167,456,3.5,1286
2023-12-02 02:40:18.906101,CMP001,YouTube,1572,831,108,3.56,1506
2023-12-03 02:40:18.906101,CMP001,YouTube,4307,748,437,4.53,606
2023-12-04 02:40:18.906101,CMP001,YouTube,4023,977,414,3.0,1035
2023-12-05 02:40:18.906101,CMP001,YouTube,3184,993,460,3.55,803
2023-12-06 02:40:18.906101,CMP001,YouTube,5435,431,413,1.34,1929
2023-12-07 02:40:18.906101,CMP001,YouTube,3666,579,346,0.31,570
2023-12-08 02:40:18.906101,CMP001,YouTube,9345,515,340,3.39,625
2023-12-09 02:40:18.906101,CMP001,YouTube,7147,809,489,1.82,759
2023-12-10 02:40:18.906101,CMP001,YouTube,2769,102,388,4.3,923
2023-12-11 02:40:18.906101,CMP001,YouTube,8589,263,370,1.93,957
2023-12-12 02:40:18.906101,CMP001,YouTube,8454,765,318,2.08,1796
2023-12-13 02:40:18.906101,CMP001,YouTube,7898,329,319,2.52,1810
2023-12-14 02:40:18.906101,CMP001,YouTube,4803,768,471,4.76,305
2023-12-15 02:40:18.906101,CMP001,YouTube,5888,532,60,4.36,1328
2023-12-16 02:40:18.906101,CMP001,YouTube,1555,910,126,3.42,955
2023-12-17 02:40:18.906101,CMP001,YouTube,3875,877,378,2.43,725
2023-12-18 02:40:18.906101,CMP001,YouTube,1272,704,379,4.13,1481
2023-12-19 02:40:18.906101,CMP001,YouTube,4406,192,437,3.22,630
2023-12-20 02:40:18.906101,CMP001,YouTube,3244,311,220,4.58,1338
2023-12-21 02:40:18.906101,CMP001,YouTube,7117,601,321,1.42,504
2023-12-22 02:40:18.906101,CMP001,YouTube,5306,293,122,4.8,883
2023-12-23 02:40:18.906101,CMP001,YouTube,4718,267,128,0.15,1975
2023-12-24 02:40:18.906101,CMP001,YouTube,2038,349,154,3.64,1197
2023-12-25 02:40:18.906101,CMP001,YouTube,3421,919,386,1.95,794
2023-12-26 02:40:18.906101,CMP001,YouTube,1850,427,290,0.85,1525
2023-12-27 02:40:18.906101,CMP001,YouTube,6043,531,295,4.81,462
2023-12-28 02:40:18.906101,CMP001,YouTube,4537,223,160,4.03,1905
2023-12-29 02:40:18.906101,CMP001,YouTube,3503,681,50,1.67,420
2023-12-30 02:40:18.906101,CMP001,YouTube,9664,721,198,3.17,1269
2023-12-31 02:40:18.906101,CMP001,YouTube,9705,552,286,2.4,941
2024-01-01 02:40:18.906101,CMP001,YouTube,3231,807,255,0.62,544
2024-01-02 02:40:18.906101,CMP001,YouTube,5422,134,261,3.32,1012
2024-01-03 02:40:18.906101,CMP001,YouTube,4928,550,192,0.84,633
2024-01-04 02:40:18.906101,CMP001,YouTube,9170,304,387,3.09,740
2024-01-05 02:40:18.906101,CMP001,YouTube,8257,893,90,3.67,1337
2024-01-06 02:40:18.906101,CMP001,YouTube,8218,674,291,1.41,1388
2024-01-07 02:40:18.906101,CMP001,YouTube,2930,114,241,1.32,832
2024-01-08 02:40:18.906101,CMP001,YouTube,2145,232,320,2.1,1930
2024-01-09 02:40:18.906101,CMP001,YouTube,3113,479,480,3.26,1661
2024-01-10 02:40:18.906101,CMP001,YouTube,1004,484,199,3.93,266
2024-01-11 02:40:18.906101,CMP001,YouTube,7032,970,486,0.71,440
2024-01-12 02:40:18.906101,CMP001,YouTube,4808,500,225,2.2,1822
2024-01-13 02:40:18.906101,CMP001,YouTube,1217,931,444,4.15,1643
2024-01-14 02:40:18.906101,CMP001,YouTube,9524,159,461,2.09,1819
2024-01-15 02:40:18.906101,CMP001,YouTube,7913,652,106,4.27,1891
2024-01-16 02:40:18.906101,CMP001,YouTube,2478,559,455,3.06,1906
2024-01-17 02:40:18.906101,CMP001,YouTube,5143,928,480,4.12,218
2024-01-18 02:40:18.906101,CMP001,YouTube,8681,237,144,2.16,536
2024-01-19 02:40:18.906101,CMP001,YouTube,6848,307,437,1.91,330
2024-01-20 02:40:18.906101,CMP001,YouTube,1786,817,446,0.19,382
2024-01-21 02:40:18.906101,CMP001,YouTube,7668,839,246,0.4,297
2024-01-22 02:40:18.906101,CMP001,YouTube,8684,221,271,4.18,695
2024-01-23 02:40:18.906101,CMP001,YouTube,4539,331,66,3.52,1774
2024-01-24 02:40:18.906101,CMP001,YouTube,6337,436,268,2.48,355
2024-01-25 02:40:18.906101,CMP001,YouTube,5326,153,223,3.73,1141
2024-01-26 02:40:18.906101,CMP001,YouTube,7789,583,222,0.67,825
2024-01-27 02:40:18.906101,CMP001,YouTube,9721,981,68,0.8,990
2024-01-28 02:40:18.906101,CMP001,YouTube,7543,525,210,4.6,1718
2024-01-29 02:40:18.906101,CMP001,YouTube,5120,811,447,1.49,1494
2024-01-30 02:40:18.906101,CMP001,YouTube,9685,793,271,2.85,415
2024-01-31 02:40:18.906101,CMP001,YouTube,8787,574,157,4.4,1628
2024-02-01 02:40:18.906101,CMP001,YouTube,2489,816,295,3.72,254
2024-02-02 02:40:18.906101,CMP001,YouTube,2478,291,444,3.45,660
2024-02-03 02:40:18.906101,CMP001,YouTube,6328,291,126,3.79,1150
2024-02-04 02:40:18.906101,CMP001,YouTube,3707,991,268,1.92,1561
2024-02-05 02:40:18.906101,CMP001,YouTube,7192,268,184,4.16,904
2024-02-06 02:40:18.906101,CMP001,YouTube,8670,273,447,2.45,1653
2024-02-07 02:40:18.906101,CMP001,YouTube,3508,213,367,2.45,1320
2024-02-08 02:40:18.906101,CMP001,YouTube,9260,142,437,4.06,762
2024-02-09 02:40:18.906101,CMP001,YouTube,2123,823,287,3.1,1874
2024-02-10 02:40:18.906101,CMP001,YouTube,1832,508,301,4.31,1519
2024-02-11 02:40:18.906101,CMP001,YouTube,2453,409,485,0.72,976
2024-02-12 02:40:18.906101,CMP001,YouTube,9462,885,126,1.66,1665
2024-02-13 02:40:18.906101,CMP001,YouTube,6725,439,129,0.81,1563
2024-02-14 02:40:18.906101,CMP001,YouTube,8656,550,450,1.14,615
2024-02-15 02:40:18.906101,CMP001,YouTube,2797,185,242,1.1,1222
2024-02-16 02:40:18.906101,CMP001,YouTube,5697,413,410,4.86,1862
2024-02-17 02:40:18.906101,CMP001,YouTube,5858,681,466,3.84,1675
2024-02-18 02:40:18.906101,CMP001,YouTube,1610,926,149,4.64,1160
2024-02-19 02:40:18.906101,CMP001,YouTube,8551,245,451,3.57,574
2024-02-20 02:40:18.906101,CMP001,YouTube,8708,373,124,3.57,848
2024-02-21 02:40:18.906101,CMP001,YouTube,2770,281,150,0.53,1159
2024-02-22 02:40:18.906101,CMP001,YouTube,3819,681,80,3.25,479
2024-02-23 02:40:18.906101,CMP001,YouTube,9959,353,347,4.51,447
2024-02-24 02:40:18.906101,CMP001,YouTube,4564,821,330,3.8,1730
2024-02-25 02:40:18.906101,CMP001,YouTube,3641,888,145,2.7,931
2024-02-26 02:40:18.906101,CMP001,YouTube,2893,748,82,1.49,943
2024-02-27 02:40:18.906101,CMP001,YouTube,1262,833,249,1.55,1754
2024-02-28 02:40:18.906101,CMP001,YouTube,9905,920,464,1.84,732
2024-02-29 02:40:18.906101,CMP001,YouTube,1210,736,480,4.41,722
2024-03-01 02:40:18.906101,CMP001,YouTube,4024,489,312,0.86,724
2024-03-02 02:40:18.906101,CMP001,YouTube,6083,157,448,4.42,998
2024-03-03 02:40:18.906101,CMP001,YouTube,1347,277,294,0.87,1617
2024-03-04 02:40:18.906101,CMP001,YouTube,9261,752,267,2.52,300
2024-03-05 02:40:18.906101,CMP001,YouTube,8690,577,175,1.89,1093
2024-03-06 02:40:18.906101,CMP001,YouTube,8181,481,74,4.55,696
2024-03-07 02:40:18.906101,CMP001,YouTube,9193,862,388,3.09,450
2024-03-08 02:40:18.906101,CMP001,YouTube,7745,438,390,1.62,391
2024-03-09 02:40:18.906101,CMP001,YouTube,2681,853,164,0.39,967
2024-03-10 02:40:18.906101,CMP001,YouTube,8130,788,337,3.55,202
2024-03-11 02:40:18.906101,CMP001,YouTube,7658,399,178,0.72,745
2024-03-12 02:40:18.906101,CMP001,YouTube,3991,653,315,0.48,1153
2024-03-13 02:40:18.906101,CMP001,YouTube,6208,509,365,2.52,985
2024-03-14 02:40:18.906101,CMP001,YouTube,6731,580,234,4.89,1722
2024-03-15 02:40:18.906101,CMP001,YouTube,5034,522,318,4.31,384
2024-03-16 02:40:18.906101,CMP001,YouTube,7835,333,95,4.03,247
2024-03-17 02:40:18.906101,CMP001,YouTube,7638,640,151,4.76,1613
2024-03-18 02:40:18.906101,CMP001,YouTube,9950,129,193,0.71,1358
2024-03-19 02:40:18.906101,CMP001,YouTube,5937,479,264,0.72,1983
2024-03-20 02:40:18.906101,CMP001,YouTube,7147,814,204,3.08,524
2024-03-21 02:40:18.906101,CMP001,YouTube,5084,134,488,0.46,1329
2024-03-22 02:40:18.906101,CMP001,YouTube,7958,681,202,4.77,783
2024-03-23 02:40:18.906101,CMP001,YouTube,7293,372,249,4.75,1957
2024-03-24 02:40:18.906101,CMP001,YouTube,3391,432,226,0.4,1420
2024-03-25 02:40:18.906101,CMP001,YouTube,3602,185,285,2.36,1056
